id,name,category,supplier,dimension,baseUnit,countUnit,purchaseUnit,packChain,basePerPurchase,pricingMode,purchasePrice,rate,rateUnit,pricePerDisplay,displayUnit,eachMeasure,isStocked,isPrepLinked,offers,primaryOfferSupplier,lastInvoiceDate,anomalies
c64804606c71e46ebb2914b7,Albacore tuna,FISH,Intercity,MASS,g,lb,case,1 case = 4535.92 g,4535.92,RATE,,19.9,lb,43.87202596165717,kg,,true,false,1,Intercity,,
c7a0f761ab2944d6a960958a,Cod,FISH,,MASS,g,kg,each,1 each = 1 each → 1 each = 1000 g,1000,RATE,,13.9,lb,30.64427944055451,kg,,true,false,1,Intercity,,DUPLICATE_CHAIN_UNITS
cmqkabg670001yke4w4lx4noj,OYSTER N/SHELL ROYAL MIYAGI XSM,FISH,Intercity,COUNT,each,each,DZ,1 DZ = 1 each → 1 each = 12 each,12,PACK,9.85,,,0.8208333333333333,each,,true,false,1,Intercity,,COUNT_UNIT_COLLISION(counting in 'each' resolves to 12 each); COUNT_NO_EACH_MEASURE
cmq7bu7y20001lzoyy0ru2oq3,Oysters Kusshi,FISH,Intercity,COUNT,each,case,case,1 case = 5 each → 1 each = 12 each,60,PACK,11.89,,,0.19816666666666669,each,,true,false,1,Intercity,,COUNT_NO_EACH_MEASURE
cmnmloj0s000rhgf02kwexkkc,Pacific Halibut,FISH,Two Rivers,MASS,g,kg,each,1 each = 1000 g,1000,PACK,38,,,38,kg,,true,false,0,,2026-04-01,
cmqvmndg50001psi43euq46ue,SABLEFISH FLT B/I LG 2/2.8 LB PREM VR LONGLINES (NOT SPECIFIED),FISH,Intercity,MASS,g,lb,lb,1 lb = 4535.92 g,4535.92,RATE,,24.9,lb,54.89514806257606,kg,,true,false,0,,,"UNIT_LABEL_CONTRADICTION(chain says 1 lb = 4535.92 g, but 1 lb is 453.592 g)"
c95967e189ee049be9111508,Salmon,FISH,Intercity,MASS,g,lb,case,1 case = 4535.92 g,4535.92,RATE,,19.9,lb,43.87202596165717,kg,,true,false,1,Intercity,,
c3f46aed0708e462281b753b,Scallops,FISH,,MASS,g,kg,each,1 each = 1 each → 1 each = 1000 g,1000,PACK,110,,,110,kg,,true,false,0,,,DUPLICATE_CHAIN_UNITS
c05bbf9759c7b492fb12f1f7,Trout,FISH,,MASS,g,kg,each,1 each = 1 each → 1 each = 1000 g,1000,PACK,28,,,28,kg,,true,false,0,,,DUPLICATE_CHAIN_UNITS
cmq8sgwl30001b1ht1idlu6sn,BLUEBERRY CULTIVATED IQF CAN,FROZEN,Sysco,MASS,g,g,case,1 case = 1 each → 1 each = 2500 g,2500,PACK,74.43,,,29.772000000000002,kg,,true,false,2,Sysco,,
cmq8rzl4q000111ayt6mwntge,CORN COB CDN FROZEN,FROZEN,Sysco,COUNT,each,each,case,1 case = 48 each → 1 each = 1 each,48,PACK,75.42,,,1.57125,each,,true,false,1,Sysco,,COUNT_NO_EACH_MEASURE
cmq8rqezt000p3d2pebk7h433,FROZEN STRAWBERRY IQF CAN A,FROZEN,Sysco,MASS,g,each,case,1 case = 6 each → 1 each = 2000 g,12000,PACK,91.86,,,7.655,kg,,true,false,1,Sysco,,
cmq8qgeng000113zgfsterkmt,STRAWBERRY FREEZE DRIED DICED,FROZEN,Snow Cap,MASS,g,case,case,1 case = 1 each → 1 each = 272 g,272,PACK,22,,,80.88235294117648,kg,,true,false,1,Snow Cap,,
cmq7bkys00001soacxq111i6a,Airline Chicken Breast,MEAT,Legends Haul,MASS,g,kg,case,1 case = 30 g,30,RATE,,20.99,kg,20.99,kg,,true,false,1,Legends Haul,,
cmphb5yon0003lv2z0lo28nox,Bacon Ends Mixed Smoked 10kg/case LEGENDS,MEAT,Legends Haul,MASS,g,case,case,1 case = 10000 g,10000,RATE,,7,kg,7,kg,,true,false,1,Legends Haul,,
cmnmloj0u000thgf01tphsbgh,Beef Chuck Flat,MEAT,Legends Haul,MASS,g,kg,case,1 case = 1000 g,1000,RATE,,27,kg,27,kg,,true,false,1,Legends Haul,,
cmpfxn3pd0001crst33vl7lkl,Beef Digital AA FZ 1kg pkgs — JBS/CARGIL,MEAT,Legends Haul,MASS,g,kg,case,1 case = 1000 g,1000,RATE,,22.9,kg,22.9,kg,,true,false,1,Legends Haul,,
cmqbngf5w0002p550de0q16ro,Beef Fat Trim,MEAT,Legends Haul,COUNT,each,case,case,1 case = 1 each → 1 each = 1 each,1,PACK,0,,,0,each,,true,false,0,,,ZERO_PRICE; COUNT_NO_EACH_MEASURE
